meter_name,read_at,unit,value
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,25/10/2020 00:00:00 +1100,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,26/10/2020 00:00:00 +1100,kWh,21.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,27/10/2020 00:00:00 +1100,kWh,22.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,28/10/2020 00:00:00 +1100,kWh,25.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,29/10/2020 00:00:00 +1100,kWh,23.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,30/10/2020 00:00:00 +1100,kWh,23.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,31/10/2020 00:00:00 +1100,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,01/11/2020 00:00:00 +1100,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,02/11/2020 00:00:00 +1100,kWh,13.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,03/11/2020 00:00:00 +1100,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,04/11/2020 00:00:00 +1100,kWh,10.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,05/11/2020 00:00:00 +1100,kWh,24.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,06/11/2020 00:00:00 +1100,kWh,25.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,07/11/2020 00:00:00 +1100,kWh,6.9
